latitud,longitud,municipio,departamento,provincia
-27.107324847,-59.44753251,LA ESCONDIDA,GENERAL DONOVAN,CHACO
-27.09668174,-59.421151046,LA ESCONDIDA,GENERAL DONOVAN,CHACO
-27.048592084,-59.437435934,LA ESCONDIDA,GENERAL DONOVAN,CHACO
-27.08111444,-59.385775809,LA ESCONDIDA,GENERAL DONOVAN,CHACO
-30.285767867,-64.378978077,QUILINO,ISCHILIN,CÓRDOBA
-30.101866886,-64.451999841,QUILINO,ISCHILIN,CÓRDOBA
-30.210115748,-64.477567416,QUILINO,ISCHILIN,CÓRDOBA
-30.215955221,-64.502977704,QUILINO,ISCHILIN,CÓRDOBA
-43.585688544,-71.700902024,CARRENLEUFU,LANGUIÑEO,CHUBUT
-45.946859419,-71.264110664,LAGO BLANCO,RIO SENGUER,CHUBUT
-34.612394445,-58.653810369,HURLINGHAM,HURLINGHAM,BUENOS AIRES
-34.593093136,-58.635720951,HURLINGHAM,HURLINGHAM,BUENOS AIRES
-34.581562283,-58.658300537,HURLINGHAM,HURLINGHAM,BUENOS AIRES
-33.433502197,-60.402519226,GODOY,CONSTITUCION,SANTA FE
-33.369709873,-60.509413022,GODOY,CONSTITUCION,SANTA FE
-33.406167903,-60.477660698,GODOY,CONSTITUCION,SANTA FE
-33.677369777,-65.473143366,VILLA MERCEDES,GENERAL PEDERNERA,SAN LUIS
-33.694173663,-65.503894189,VILLA MERCEDES,GENERAL PEDERNERA,SAN LUIS
-33.661546991,-65.535726893,VILLA MERCEDES,GENERAL PEDERNERA,SAN LUIS
-33.691812234,-65.50073106,VILLA MERCEDES,GENERAL PEDERNERA,SAN LUIS
-23.275302523,-65.946380462,BARRANCAS,COCHINOCA,JUJUY
-23.1466006,-66.032103332,BARRANCAS,COCHINOCA,JUJUY
-23.170945539,-65.973242795,BARRANCAS,COCHINOCA,JUJUY
-23.147424698,-66.031219482,BARRANCAS,COCHINOCA,JUJUY
-23.048007965,-66.13256073,BARRANCAS,COCHINOCA,JUJUY
-23.288664351,-65.941233536,BARRANCAS,COCHINOCA,JUJUY
-23.048610687,-66.092857361,BARRANCAS,COCHINOCA,JUJUY
-23.338641103,-66.090143228,BARRANCAS,COCHINOCA,JUJUY
-23.515506956,-65.947612869,BARRANCAS,COCHINOCA,JUJUY
-23.29167366,-66.081336975,BARRANCAS,COCHINOCA,JUJUY
-43.38097713,-65.838687743,28 DE JULIO,GAIMAN,CHUBUT
-39.828284593,-69.508972688,NAUPA HUEN,EL CUY,RÍO NEGRO
-28.807483356,-63.486777342,CHILCA JULIANA,SALAVINA,SANTIAGO DEL ESTERO
-36.107008,-69.761199,MALARGUE,MALARGUE,MENDOZA
-36.188674927,-69.664405823,MALARGUE,MALARGUE,MENDOZA
-35.477010712,-69.588649187,MALARGUE,MALARGUE,MENDOZA
-35.267583702,-69.500300167,MALARGUE,MALARGUE,MENDOZA
-37.185493469,-68.392372131,MALARGUE,MALARGUE,MENDOZA
-35.153965078,-70.081791099,MALARGUE,MALARGUE,MENDOZA
-35.357404049,-69.582385228,MALARGUE,MALARGUE,MENDOZA
-36.153239036,-68.304842854,MALARGUE,MALARGUE,MENDOZA
-35.869655609,-70.069244385,MALARGUE,MALARGUE,MENDOZA
-36.757041931,-69.184188843,MALARGUE,MALARGUE,MENDOZA
