provincia,municipio,latitud,longitud
Chaco,La escondida,-27.107324847,-59.44753251
Cordoba,Quilino,-30.285767867,-64.378978077
Chubut,Carrenleufu,-43.585688544,-71.700902024
Chubut,Lago blanco,-45.946859419,-71.264110664
Buenos aires,Hurlingham,-34.612394445,-58.653810369
Santa fe,Godoy,-33.433502197,-60.402519226
San luis,Villa mercedes,-33.677369777,-65.473143366
Jujuy,Barrancas,-23.275302523,-65.946380462
Chubut,28 de julio,-43.38097713,-65.838687743
Rio negro,Naupa huen,-39.828284593,-69.508972688
Santiago del estero,Chilca juliana,-28.807483356,-63.486777342
Mendoza,Malargue,-36.107008,-69.761199
Cordoba,Estancia de guadalupe,-31.18595404,-65.247435865
Santa fe,Correa,-32.84946108,-61.254556908
Santa cruz,El chalten,-49.331973118,-72.891626709
Buenos aires,Colon,-33.914783802,-60.943808185
Buenos aires,Benito juarez,-37.6438,-59.8529
Entre rios,Los conquistadores,-30.594407458,-58.468262706
Chaco,Gancedo,-27.48964879,-61.673877171
Cordoba,Laborde,-33.152989183,-62.856073778
Entre rios,General galarza,-32.721271306,-59.395888703
Salta,La caldera,-24.709346771,-65.288383484
Catamarca,Fray mamerto esquiu,-28.419848734,-65.698837796
Buenos aires,Olavarria,-37.1820692,-60.6463365
Santa fe,Colonia iturraspe,-31.4788195,-61.62158
Santa fe,Arequito,-33.050945267,-61.487723342
Salta,Santa victoria oeste,-22.34120267,-65.17109986
Salta,Rio piedras,-25.321181876,-64.917329425
Entre rios,San ramirez,-30.46341428,-59.34085823
La pampa,Puelches,-38.01481736,-65.584818951
Santa fe,General lagos,-33.112158888,-60.566573784
Chaco,Corzuela,-26.891746562,-61.119342344
San luis,Las aguadas,-32.417919159,-65.48777771
Santa cruz,Canadon seco,-46.55884577,-67.616856369
La rioja,Sanagasta,-29.140890122,-67.157470703
Buenos aires,Almirante brown,-34.801558074,-58.391467719
Cordoba,Bell ville,-32.628560075,-62.689114908
Santa cruz,Caleta olivia,-46.44594923,-67.525156497
Entre rios,Nueva vizcaya,-30.968514977,-58.612747928
Buenos aires,Jose c paz,-34.491848399,-58.786378032
Santiago del estero,Garza,-28.164064062,-63.469345611
Buenos aires,Rojas,-34.3064955,-60.6245184
Santiago del estero,Pinto,-29.139635716,-62.562396054
Cordoba,Amboy,-32.2162493,-64.6720222
Santa cruz,Area sin gobierno,-48.420131683,-67.354904175
Santa fe,Suardi,-30.536145346,-61.961680584
Jujuy,Huacalera,-23.402354468,-65.391045155
San luis,La toma,-33.05443762,-65.62269821
Rio negro,Maquinchao,-41.247516564,-68.700341069
Buenos aires,General belgrano,-35.834410002,-58.477360025
Corrientes,Lavalle,-29.02498125,-59.18185701
Chaco,Enrique urien,-27.558725149,-60.525990754
Santa fe,Santa clara de buena vista,-31.768503,-61.3988686
Cordoba,Area sin gobierno,-30.088494983,-63.453583662
Misiones,Garuhape,-26.785012551,-54.901151033
Cordoba,Salsacate,-31.315161675,-65.091026059
Cordoba,Luca,-32.54019796,-63.476253638
Entre rios,Enrique carbo,-33.147848356,-59.208940114
Entre rios,El carmen - estacion racedo,-31.984016449,-60.408391229
Jujuy,Tumbaya,-23.817407608,-65.53327179
Cordoba,Leones,-32.658391411,-62.299914625
Chaco,Miraflores,-25.289866904,-60.686208931
Cordoba,Colonia tirolesa,-31.291504473,-64.116614974
Santa fe,Las avispas,-29.895312796,-61.291199245
Santa fe,Labordeboy,-33.719652745,-61.314920817
Santa fe,General gelly,-33.601843491,-60.598938352
Santa fe,El trebol,-32.2424536,-61.6430165
Salta,El jardin,-26.070972443,-65.475334167
Cordoba,Lozada,-31.648454532,-64.089979611
Cordoba,Salsipuedes,-31.134926931,-64.287333107
Mendoza,San carlos,-34.66436573,-69.3184
Chubut,Area sin gobierno,-43.483531952,-66.1457901
Santa fe,Santa teresa,-33.438547162,-60.791154277
La pampa,Chacharramendi,-37.331814776,-65.650772795
Mendoza,San martin,-33.041146736,-68.354152737
Chubut,Cholila,-42.518827788,-71.438412841
Cordoba,La puerta,-30.892605116,-63.253271201
Cordoba,La cumbre,-30.956590882,-64.611907399
Tucuman,Los ralos,-26.891469273,-65.013182212
Buenos aires,Suipacha,-34.802573066,-59.735773749
Santa fe,Lanteri,-28.8541597,-59.699156
